sitename,sitename1,year,treatments,treat,tni_fe,oni,ini,n_fix,n_de,n_in_total,ratio,p2o5,k2o,kin_i,k_o,k_in_total,cain_i,ca_o,ca_in_total,na_o_in,mg_o_in,bc_de_in,treat_no.,ph,ph_de,soc,clay,cec,c1_yield_grain,c1_yield_straw,c2_yield_grain,c2_yield_straw,c1_n_grain,c1_k_grain,c1_ca_grain,c1_mg_grain,c1_na_grain,c1_n_straw,c1_k_straw,c1_ca_straw,c1_mg_straw,c1_na_straw,c2_n_grain,c2_k_grain,c2_ca_grain,c2_mg_grain,c2_na_grain,c2_n_straw,c2_k_straw,c2_ca_straw,c2_mg_straw,c2_na_straw,n_output,n_sur,k_output,ca_output,mg_output,na_output,croptype,ct,in_eq_n,in_eq_k,in_eq_ca,in_eq_na,in_eq_mg,in_eq_bc,up_eq_n,up_eq_k,up_eq_ca,up_eq_mg,up_eq_na,up_eq_bc,bc_sur
27Qiyang,Qiyang,1991,CK,CK,0,0,0,10,49,59,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.69,0.399999999999999,8.55056844547564,44,293.000693967517,624,1419,608.25,866.25,18.8443052419848,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,4.73149260705776,11.7518686867532,1.88314410829231,0.43417618157806,0.0259909423109624,10,4.18628272562732,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,28.99297253268,0.214335910480857,29.5055319781875,5.90495753109338,3.47413193242985,0.0543253509113655,W-M,U,0.421428571428571,0,0,0,0,0.35,0.207092660947714,0.0754649997012339,0.0294673263690473,0.0285877961936214,0.00023630229129908,0.133756424555202,0.216243575444798
27Qiyang,Qiyang,1992,CK,CK,0,0,0,10,46.2,56.2,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.69,0.8,9.21113689095128,44,294.969187935035,380.25,1035,816,1071,18.8443052419848,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,4.73149260705776,11.7518686867532,1.88314410829231,0.43417618157806,0.0259909423109624,10,4.18628272562732,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,25.7091762357354,0.217791598316176,26.4733297354785,5.81040537963851,3.63212493582614,0.0461357728977592,W-M,U,0.401428571428571,0,0,0,0,0.35,0.183636973112395,0.0677096695648622,0.0289954857010755,0.0298878826235436,0.000200679584461067,0.126793717473942,0.223206282526058
27Qiyang,Qiyang,1993,CK,CK,0,0,0,10,50.4,60.4,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.68,-0.4,8.67,44,293.3566,525,1785,558.75,1830,18.8443052419848,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,4.73149260705776,11.7518686867532,1.88314410829231,0.43417618157806,0.0259909423109624,10,4.18628272562732,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,33.3012250729823,0.193562678050126,41.3506609065352,9.83390673423954,5.42060546692672,0.0724172416116161,W-M,U,0.431428571428571,0,0,0,0,0.35,0.237865893378445,0.105760764295469,0.0490738396838143,0.0446048588103412,0.00031499769141489,0.199754460481039,0.150245539518961
27Qiyang,Qiyang,1994,CK,CK,0,0,0,10,46.2,56.2,0,0,0,0,0,0,0,0,0,0,0,0.35,1,6,-0.7,7.01856148491879,44,288.435313225058,522,1440,165.75,1139.25,18.8443052419848,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,4.73149260705776,11.7518686867532,1.88314410829231,0.43417618157806,0.0259909423109624,11.4,4.7,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,24.3757930986115,0.227315763581346,29.8367054134085,6.79432180652119,3.57282940583118,0.0537207486861698,W-M,U,0.401428571428571,0,0,0,0,0.35,0.174112807847225,0.0763120274114438,0.0339054933206307,0.0293999539669301,0.000233672416135063,0.13985114711514,0.21014885288486
27Qiyang,Qiyang,1995,CK,CK,0,0,0,10,37.8,47.8,0,0,0,0,0,0,0,0,0,0,0,0.35,1,6.3,-0.2,9.24593967517401,44,295.072900232019,411,634.5,459,834.75,18.8443052419848,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,4.73149260705776,11.7518686867532,1.88314410829231,0.43417618157806,0.0259909423109624,10,4.18628272562732,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,19.6134109094543,0.201332779218183,18.4022597671411,4.22896373522666,2.73305762687064,0.0310388602460607,W-M,U,0.341428571428571,0,0,0,0,0.35,0.140095792210388,0.0470666493610747,0.0211036665264068,0.0224896739507973,0.000135011622979164,0.090795001461258,0.259204998538742
27Qiyang,Qiyang,1996,CK,CK,0,0,0,10,39.2,49.2,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.5,-0.600000000000001,7.77262180974478,44,290.682412993039,348,1068.75,180,630,18.8443052419848,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,4.73149260705776,11.7518686867532,1.88314410829231,0.43417618157806,0.0259909423109624,10,4.18628272562732,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,16.6419740769248,0.232557328021966,20.2999267454759,4.30022876159485,2.22524192286166,0.0378406433657268,W-M,U,0.351428571428571,0,0,0,0,0.35,0.118871243406606,0.0519202286172952,0.02145929817653,0.0183109806448192,0.000164597753747447,0.0918551051923919,0.258144894807608
27Qiyang,Qiyang,1997,CK,CK,0,0,0,10,43.4,53.4,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.4,-0.5,9.04872389791183,44,294.485197215777,295.5,703.5,582,1279.5,18.8443052419848,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,2.3,19.4,1.88314410829231,0.43417618157806,0.0259909423109624,10,4.18628272562732,0.0959468213816642,0.795477296198948,0.00712656017213223,3.4,9.8,3.40370143074977,2.001132660424,0.01,17.3568421990065,0.257451127149954,29.9978831588895,5.84267401788661,3.63227108105935,0.0373331844668081,W-M,U,0.381428571428571,0,0,0,0,0.35,0.123977444278618,0.0767242646327065,0.0291565148854065,0.0298890852175219,0.000162390428832965,0.135932255164468,0.214067744835532
27Qiyang,Qiyang,1998,CK,CK,0,0,0,10,42,52,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.4,-1.4,8.93271461716937,44,294.139489559165,350.25,1176,24,729,16.6,6.6,0.362115421368941,1.02677195234821,0.00712656017213223,4.1,11.2,1.88314410829231,0.43417618157806,0.0259909423109624,9.1,3.2,0.0959468213816642,0.795477296198948,0.00712656017213223,5.7,13.4,3.40370143074977,2.001132660424,0.01,15.00945,0.264218214285714,25.32825,4.82500946441596,2.34813523040363,0.0405224633021122,W-M,U,0.371428571428571,0,0,0,0,0.35,0.107210357142857,0.0647809495553515,0.0240780950367581,0.019322240118524,0.000176263029446326,0.10835754774008,0.24164245225992
27Qiyang,Qiyang,1999,CK,CK,0,0,0,10,50.4,60.4,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.2,-2.2,8.41067285382831,44,292.583805104408,346.5,183,155.25,1245,15.4,3.6,0.362115421368941,1.02677195234821,0.00712656017213223,12.5,19.9,1.88314410829231,0.43417618157806,0.0259909423109624,11.6,4.4,0.0959468213816642,0.795477296198948,0.00712656017213223,6.3,5.1,3.40370143074977,2.001132660424,0.01,17.268,0.308085714285714,11.9217,4.72259239062479,3.0501387351802,0.0207820940092735,W-M,U,0.431428571428571,0,0,0,0,0.35,0.123342857142857,0.030491607051969,0.0235670062908568,0.0250988581376688,9.03971414818194e-05,0.0792478686219764,0.270752131378024
27Qiyang,Qiyang,2000,CK,CK,0,0,0,10,49,59,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.6,-1.3,9.39675174013921,44,295.522320185615,381.75,702,96.525,299.25,10.4,8.4,0.362115421368941,1.02677195234821,0.00712656017213223,11.3,13.4,1.88314410829231,0.43417618157806,0.0259909423109624,9,6,0.0959468213816642,0.795477296198948,0.00712656017213223,6.5,5.1,3.40370143074977,2.001132660424,0.01,14.71665,0.316309642857143,14.718825,2.48802364621452,1.37238426692421,0.0246465970686221,W-M,U,0.421428571428571,0,0,0,0,0.35,0.105118928571429,0.0376456904775911,0.0124159072120092,0.0112930200940071,0.000107206806073702,0.0614618245896811,0.288538175410319
27Qiyang,Qiyang,2001,CK,CK,0,0,0,10,46.2,56.2,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.7,-1.3,9.17053364269142,44,294.84819025522,333.15,597.15,162,654,16.2,3.4,0.362115421368941,1.02677195234821,0.00712656017213223,5.2,11.7,1.88314410829231,0.43417618157806,0.0259909423109624,9.4,3.7,0.0959468213816642,0.795477296198948,0.00712656017213223,5.1,10.8,3.40370143074977,2.001132660424,0.01,13.36041,0.305997071428572,15.781965,3.48672237766999,2.03894546465567,0.0255892074702225,W-M,U,0.401428571428571,0,0,0,0,0.35,0.0954315,0.0403648368343381,0.0173996825074604,0.0167779918918384,0.000111306936012373,0.0746538181696493,0.275346181830351
27Qiyang,Qiyang,2002,CK,CK,0,0,0,10,50.4,60.4,0,0,0,0,0,0,0,0,0,0,0,0.35,1,5.9,-1.2,8.45707656612529,44,292.722088167053,225.75,408.75,321,868.5,22.2,6.11,0.362115421368941,1.02677195234821,0.00712656017213223,4.73149260705776,11.7518686867532,1.88314410829231,0.43417618157806,0.0259909423109624,10,4.18628272562732,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,14.6048119880046,0.327108485799967,14.926773626667,3.8383963329082,2.40259521012074,0.0232052444437192,W-M,U,0.431428571428571,0,0,0,0,0.35,0.104320085628605,0.0381775515218487,0.0191546301357763,0.0197703781947808,0.000100937266675969,0.0772034971190818,0.272796502880918
27Qiyang,Qiyang,2003,CK,CK,0,0,0,10,53.2,63.2,0,0,0,0,0,0,0,0,0,0,0,0.34,1,5.4,-1.5,8.38167053364269,44,292.497378190255,409.125,583.5,153.75,580.5,18.5751192940269,4.65132525405882,0.362115421368941,1.02677195234821,0.00712656017213223,2.49717667765779,6.8706663283536,1.88314410829231,0.43417618157806,0.0259909423109624,8.2907325814376,3.528,0.0959468213816642,0.795477296198948,0.00712656017213223,3.68646882692178,7.535,3.40370143074977,2.001132660424,0.01,12.4713435610062,0.362347545992813,10.8285047471611,3.2375655632938,1.95738202062198,0.0249820773953355,W-M,U,0.451428571428571,0,0,0,0,0.34,0.0890810254357586,0.0276955896986855,0.016156322986645,0.0161068259257106,0.000108666065306422,0.0600674046763475,0.279932595323653
27Qiyang,Qiyang,2004,CK,CK,0,0,0,10,54.6,64.6,0,0,0,0,0,0,0,0,0,0,0,0.34,1,5.5,-1.7,9.69756380510441,44,296.418740139211,349.5,1149,210,597.75,21.9161680390649,4.87380271317726,0.362115421368941,1.02677195234821,0.00712656017213223,2.53653653653654,11.2555155155155,1.88314410829231,0.43417618157806,0.0259909423109624,9.67705226593107,6.06808742686267,0.0959468213816642,0.795477296198948,0.00712656017213223,5.12281449035093,8.52051588489375,3.40370143074977,2.001132660424,0.01,15.6685245475865,0.349510538945811,21.0034181054192,4.34500328291713,2.22095250994911,0.0398284031316037,W-M,U,0.461428571428571,0,0,0,0,0.34,0.11191803248276,0.053719517486487,0.0216827350811773,0.0182756840975035,0.000173244033602964,0.0938511806987708,0.246148819301229
27Qiyang,Qiyang,2005,CK,CK,0,0,0,10,47.6,57.6,0,0,0,0,0,0,0,0,0,0,0,0.33,1,5.63,-1.3,6.91832946635731,44,288.136621809745,575.25,927.75,156,888.75,17.578,5.07677755569184,0.362115421368941,1.02677195234821,0.00712656017213223,2.44264033950905,10.8574581988328,1.88314410829231,0.43417618157806,0.0259909423109624,9.48488624622373,3.082,0.0959468213816642,0.795477296198948,0.00712656017213223,8.80828949487358,7.152,3.40370143074977,2.001132660424,0.01,21.6859136179593,0.256529188443148,19.8305551328789,4.99540119332506,2.89605862820621,0.038211893854867,W-M,U,0.411428571428571,0,0,0,0,0.33,0.154899382985424,0.050719737515132,0.0249283955952147,0.0238309699914109,0.000166212604636728,0.0996453157063943,0.230354684293606
